Cluster;RA_ICRS;DE_ICRS;dist;e_dist;age;e_age;FeH;e_FeH;Av;e_Av;Nc;alpha_high_int;alpha_high_er_int;alpha_low_int;alpha_low_er_int;Mc_int;Mc_er_int;offset_int;offset_er_int;mass_total;e_mass_total;bin_frac;average_ratio;str_average_ratio;segr_ratio;segr_ratio_std;mass_seg;mass_seg_pval
UPK_524;105.7287;-54.4752;0.545;0.028;8.642;0.205;-0.085;0.061;0.285;0.096;195;-1.66181;0.40941;1.09152;0.28434;-0.2;0.05045;1.45762;0.06255;273;54;0.63077;0.64438;0.22854;0.95505;9.9669;0.06276;0.99607
UPK_528;137.0737;-43.3459;0.951;0.006;8.454;0.191;-0.093;0.054;0.945;0.074;78;-2.01336;0.51034;2.25429;0.57473;-0.11306;0.04417;1.33382;0.08268;169;33;0.5;0.59198;0.18796;1.45634;2.87855;0.33202;0.04235
UPK_533;123.3785;-52.2662;0.338;0.009;8.454;0.211;0.072;0.07;0.086;0.071;95;-2.64019;1.03876;0.39669;0.48;-0.2;0.09872;0.94028;0.16807;112;22;0.72632;0.75294;0.17788;1.01813;5.19618;0.48889;0.15329
UPK_535;127.4275;-50.8584;0.321;0.011;7.723;0.076;0.056;0.057;0.25;0.092;226;-2.05443;0.6008;0.4252;0.33819;-0.2;0.08288;1.28051;0.10836;209;41;0.47788;0.65675;0.22449;1.09368;5.69262;0.25136;0.06686
UPK_537;126.8786;-52.0217;0.594;0.001;8.347;0.138;0.053;0.081;0.703;0.077;118;-1.95141;0.56852;1.49606;0.637;-0.2;0.062;1.30833;0.09749;243;48;0.77966;0.7321;0.20337;1.40644;7.13967;0.36435;0.00246
UPK_54;286.2165;15.6633;0.798;0.007;8.305;0.068;-0.188;0.084;1.252;0.038;145;-1.76929;0.27996;2.3542;0.38446;-0.17888;0.02581;1.47284;0.0439;326;65;0.82759;0.65886;0.18629;1.16198;4.43666;0.14268;0.45825
UPK_542;134.3829;-54.2671;0.77;0.106;8.773;0.189;-0.229;0.03;0.638;0.316;64;-3.0;1.10086;1.41612;0.31236;-0.12003;0.05141;1.15121;0.12071;99;19;0.78125;0.65415;0.237;1.25574;8.53567;0.33333;0.16228
UPK_55;296.7732;10.4338;0.779;0.004;8.488;0.174;-0.048;0.058;0.761;0.067;74;-1.59154;0.39868;1.56415;0.29471;-0.12491;0.0431;1.2437;0.06874;192;38;0.67568;0.63703;0.24409;1.15977;3.13634;0.22516;0.2886
UPK_552;158.6281;-47.4219;0.331;0.008;8.437;0.082;0.006;0.027;0.095;0.052;63;-1.27052;1.03343;0.29669;0.7322;-0.2;0.25537;1.07572;0.18547;95;19;0.68254;0.74118;0.21599;1.68991;5.22587;0.3875;0.04791
UPK_560;157.7701;-44.5686;0.592;0.026;8.726;0.103;-0.117;0.046;0.2;0.093;248;-2.27103;0.59345;1.19649;0.32297;-0.2;0.0512;1.33874;0.0871;360;72;0.58065;0.64853;0.22633;1.17845;11.16576;0.24665;0.02323
UPK_562;165.9847;-57.0247;0.846;0.088;8.367;0.163;-0.069;0.083;0.309;0.12;169;-1.84579;0.41233;1.53815;0.26253;-0.11159;0.03666;1.50588;0.0699;330;66;0.70414;0.62418;0.23448;1.14812;7.72869;0.15812;0.29693
UPK_567;161.7056;-67.2987;0.633;0.002;8.659;0.14;-0.054;0.074;0.69;0.16;99;-2.14991;0.3307;1.69645;0.1897;-0.10651;0.02285;1.39146;0.04458;149;29;0.57576;0.62151;0.24739;1.34082;7.87976;0.23032;0.15464
UPK_578;192.837;-57.4069;0.907;0.012;8.906;0.056;0.1;0.125;0.881;0.201;57;-1.12866;0.84344;2.02565;0.35425;0.01218;0.05959;1.4105;0.17758;155;31;0.64912;0.6715;0.21839;1.21665;2.65113;0.34527;0.054
UPK_585;212.8376;-75.6927;0.703;0.001;8.451;0.098;-0.233;0.093;0.446;0.134;54;-2.36986;0.84929;1.79047;0.62552;-0.2;0.06208;1.0455;0.12148;113;22;0.87037;0.64351;0.20394;1.50098;5.26787;0.40381;0.08084
UPK_604;224.478;-59.953;0.74;0.011;7.022;0.183;-0.098;0.16;1.364;0.408;54;-1.80364;0.68501;0.81109;0.48695;-0.0182;0.10305;1.30164;0.22355;95;19;0.5;0.6906;0.15441;1.18763;2.77277;0.15152;0.88031
UPK_605;234.5195;-65.9224;0.726;0.005;8.575;0.141;-0.141;0.054;0.203;0.073;75;-2.04549;0.5549;1.52319;0.31289;-0.2;0.04467;1.07618;0.07334;127;25;0.69333;0.63199;0.21359;1.529;2.58007;0.53947;0.00024
UPK_613;226.2597;-49.1442;0.841;0.019;8.387;0.154;-0.231;0.122;0.656;0.092;46;-0.9939;0.50279;1.49108;0.50317;-0.2;0.08651;1.0796;0.10005;117;23;0.71739;0.60716;0.24289;1.23114;2.81644;0.25714;0.53682
UPK_614;231.2906;-53.9334;0.885;0.004;8.473;0.161;-0.011;0.038;0.491;0.106;80;-2.34439;0.50665;2.43978;0.41735;-0.14417;0.02862;1.21572;0.06425;148;29;0.6;0.58216;0.24886;1.55164;4.56699;0.28861;0.08152
UPK_617;234.8878;-55.4184;0.713;0.002;8.292;0.222;-0.022;0.028;0.601;0.049;93;-2.28778;0.42535;1.81921;0.30758;-0.13518;0.02874;1.22172;0.06146;118;23;0.46237;0.69164;0.24158;1.78719;2.51116;0.3771;0.00593
UPK_62;289.7125;20.7846;0.874;0.013;8.36;0.334;-0.041;0.073;3.753;0.088;53;-1.95894;0.64336;1.73295;0.44437;0.01465;0.04588;1.33268;0.12691;213;42;0.75472;0.79026;0.21685;1.92352;2.73622;0.22917;0.4379
UPK_621;237.4248;-54.5105;0.874;0.002;8.174;0.189;0.019;0.045;1.101;0.062;210;-1.86811;0.25731;3.0;0.53642;-0.2;0.02435;1.47439;0.04625;488;97;0.67619;0.7954;0.20845;1.31508;8.09852;0.16632;0.1367
UPK_626;239.5851;-50.3869;0.496;0.0;8.529;0.064;-0.007;0.036;0.753;0.05;73;-1.90282;0.52473;1.88241;0.34436;-0.2;0.04236;1.1713;0.07234;124;24;0.57534;0.61903;0.23056;1.02847;3.89902;0.18616;0.63907
UPK_629;255.2704;-55.996;1.82;0.178;8.054;0.082;0.031;0.044;1.688;0.182;133;-1.19339;0.28362;2.83129;0.79039;-0.1071;0.06471;1.5601;0.07386;489;97;0.66165;0.85863;0.20906;1.54997;15.01651;0.30952;0.00256
UPK_640;250.3211;-39.5645;0.175;0.001;7.386;0.039;0.145;0.046;0.321;0.064;425;-1.31607;0.32307;0.42425;0.25229;-0.2;0.08734;1.57822;0.08381;385;77;0.31059;0.60795;0.20488;1.00727;1.60044;0.10212;0.72362
UPK_65;286.5549;23.3329;0.748;0.001;8.396;0.107;-0.271;0.102;1.406;0.064;46;-2.04142;0.80466;1.13468;0.24122;0.01895;0.06344;1.36864;0.1989;111;22;0.69565;0.5615;0.20894;0.96505;3.20678;0.26136;0.33544
UPK_654;277.2076;-34.4729;0.497;0.001;8.517;0.168;-0.048;0.058;0.458;0.137;90;-2.70575;0.60901;1.1211;0.43012;-0.2;0.04398;0.98768;0.08597;105;21;0.5;0.7714;0.20951;1.59738;2.53835;0.4036;0.03967
UPK_82;298.2139;26.4639;0.504;0.018;8.119;0.133;-0.051;0.065;0.379;0.04;156;-1.79713;0.58927;0.61435;0.52121;-0.2;0.09236;1.31195;0.10709;212;42;0.61538;0.76025;0.2261;1.11214;3.39149;0.13651;0.70353
UPK_84;310.236;20.1862;0.896;0.006;9.056;0.04;-0.011;0.044;0.231;0.035;124;-1.50344;0.92356;1.45362;0.31926;-0.0126;0.06268;1.64654;0.14739;242;48;0.53226;0.63636;0.2761;1.32989;4.67422;0.32136;0.00241
UPK_93;300.1772;30.0312;0.637;0.04;8.766;0.092;-0.228;0.043;0.41;0.097;98;-2.56276;1.74507;0.76087;0.50973;-0.02141;0.10995;1.58848;0.27859;166;33;0.78571;0.62499;0.22171;1.18673;4.05038;0.29273;0.04022
UPK_94;304.7675;27.5894;0.933;0.012;8.626;0.181;-0.04;0.071;1.211;0.077;65;-2.02406;0.47735;1.68176;0.31185;-0.1073;0.03378;1.20057;0.05923;147;29;0.66154;0.60853;0.24127;1.06023;4.44106;0.35835;0.03257
vdBergh_130;304.4921;39.3298;1.559;0.123;6.742;0.129;0.051;0.157;2.45;0.03;102;-1.15153;0.23854;1.95219;0.35354;-0.05973;0.04343;1.51962;0.09712;391;78;0.58824;0.78906;0.22047;1.18079;0.92851;0.23931;0.10686
vdBergh_80;97.7619;-9.612;0.937;0.018;6.933;0.12;-0.053;0.08;2.108;0.202;116;-1.7657;0.19631;1.98085;0.34079;-0.16475;0.02703;1.2661;0.04566;249;49;0.71552;0.81727;0.20384;0.91347;2.6137;0.16721;0.53255
vdBergh_92;106.0692;-11.4938;1.084;0.014;6.83;0.094;-0.076;0.032;0.972;0.053;504;-1.46781;0.15596;1.96815;0.25251;-0.2;0.02492;1.71558;0.04529;827;165;0.51786;0.74505;0.21925;1.02122;2.5116;0.08785;0.45438
