Cluster;RA_ICRS;DE_ICRS;dist;e_dist;age;e_age;FeH;e_FeH;Av;e_Av;Nc;alpha_high_int;alpha_high_er_int;alpha_low_int;alpha_low_er_int;Mc_int;Mc_er_int;offset_int;offset_er_int;mass_total;e_mass_total;bin_frac;average_ratio;str_average_ratio;segr_ratio;segr_ratio_std;mass_seg;mass_seg_pval
Tombaugh_5;56.977;59.0395;1.545;0.03;8.353;0.097;0.02;0.028;2.505;0.027;614;-1.69668;0.2829;1.87119;0.18755;0.04192;0.02415;2.15666;0.07241;1544;308;0.68567;0.67949;0.24546;1.34852;4.94403;0.1508;0.018
Trumpler_1;23.9179;61.2871;2.424;0.049;7.42;0.075;-0.046;0.05;1.815;0.022;147;-1.22464;0.17716;1.68581;0.19299;0.0613;0.03131;1.72354;0.07188;557;111;0.63946;0.57362;0.23392;1.32742;1.4441;0.2381;0.23251
Trumpler_12;151.6243;-60.2906;3.121;0.125;8.891;0.021;-0.02;0.055;0.782;0.049;303;-1.5378;0.60118;1.95738;0.26476;0.01625;0.03826;1.84828;0.11627;711;142;0.53795;0.60399;0.24879;1.14598;2.28753;0.21668;0.02026
Trumpler_14;161.0047;-59.5491;2.271;0.099;6.72;0.061;0.025;0.056;1.786;0.027;491;-1.16849;0.12809;2.41181;0.32556;0.06825;0.02464;2.07858;0.0625;1994;398;0.61507;0.81024;0.20883;1.12524;1.19233;0.17162;0.06041
Trumpler_15;161.1859;-59.3719;2.296;0.115;6.906;0.051;0.013;0.041;1.637;0.059;316;-1.38681;0.15076;1.86049;0.21305;0.05461;0.0263;1.94673;0.06358;1052;210;0.67089;0.75199;0.24262;1.06596;1.20857;0.23977;0.01873
Trumpler_19;168.61;-57.5744;2.357;0.049;9.59;0.045;0.039;0.035;0.629;0.063;781;-0.59271;1.24388;1.80482;0.14993;0.0202;0.03849;2.13063;0.09987;2684;536;0.65813;0.64738;0.26163;1.14517;5.73551;0.13998;0.00109
Trumpler_2;39.2675;55.8947;0.669;0.002;8.027;0.155;-0.042;0.037;1.189;0.044;263;-1.78901;0.42429;1.64675;0.34975;-0.07505;0.04519;1.77987;0.09631;498;99;0.47148;0.60872;0.22053;1.18217;3.44233;0.22773;0.0024
Trumpler_21;203.0571;-62.7919;1.264;0.025;7.802;0.12;0.073;0.054;0.828;0.036;125;-1.69402;0.38053;1.33541;0.21869;0.022;0.04386;1.6083;0.11698;253;50;0.512;0.524;0.26767;1.01719;1.1429;0.1338;0.58092
Trumpler_3;48.021;63.1954;0.659;0.004;7.748;0.113;0.025;0.054;1.1;0.052;298;-2.057;0.33259;1.59832;0.22834;-0.11659;0.03047;1.67914;0.06515;444;88;0.47987;0.62715;0.24543;1.15226;3.3126;0.15394;0.074
Trumpler_32;274.2983;-13.332;1.605;0.031;8.874;0.036;0.079;0.033;2.431;0.02;566;-1.6662;0.42366;2.08815;0.19236;0.05121;0.0236;2.12673;0.08871;1422;284;0.61661;0.74902;0.2573;1.13232;2.20989;0.16045;0.01189
Trumpler_33;276.1694;-19.72;1.333;0.024;7.836;0.154;0.061;0.096;1.488;0.081;107;-1.35373;0.32926;1.44779;0.28315;-0.02758;0.05107;1.47234;0.10056;313;62;0.56075;0.57382;0.27799;1.07978;1.16156;0.17785;0.33598
UBC_118;282.6416;9.7908;1.435;0.027;8.34;0.111;0.091;0.054;1.558;0.059;193;-1.90597;0.59937;1.62655;0.26168;0.00221;0.04531;1.7277;0.1374;412;82;0.46114;0.54024;0.26643;1.26909;3.20781;0.31092;0.00015
UBC_133;303.7123;28.3677;1.45;0.035;7.813;0.174;0.187;0.052;2.964;0.034;185;-1.74656;0.24176;1.92657;0.24627;0.02364;0.0251;1.76183;0.06441;710;142;0.76216;0.69678;0.22669;1.0035;4.04972;0.23649;0.02889
UBC_136;304.4793;32.606;1.348;0.022;8.223;0.161;0.18;0.085;2.483;0.095;221;-1.83575;0.31813;2.02623;0.25877;-0.02534;0.02747;1.76851;0.07021;710;142;0.70588;0.74846;0.23485;1.29987;4.07766;0.18156;0.05194
UBC_151;312.0139;47.4341;1.628;0.022;8.213;0.207;0.129;0.055;1.144;0.064;197;-1.74898;0.45115;1.90722;0.35155;-0.03849;0.03941;1.71344;0.09017;413;82;0.52792;0.68176;0.2505;1.01031;3.72381;0.17503;0.08751
UBC_152;314.3412;47.3672;1.281;0.026;8.001;0.225;0.155;0.074;1.864;0.092;50;-1.64265;0.91828;1.37034;0.42915;0.07545;0.08077;1.5209;0.26555;172;34;0.52;0.6527;0.23831;1.24954;1.84429;0.21429;0.53701
UBC_154;317.0953;46.325;2.936;0.147;8.833;0.076;-0.005;0.046;1.734;0.091;220;-2.01125;0.64183;1.95049;0.25601;0.04804;0.03331;1.79961;0.13628;536;107;0.55909;0.77305;0.2725;0.6592;4.72437;0.21205;0.19062
UBC_157;328.7513;49.712;1.149;0.011;8.254;0.086;0.001;0.022;0.893;0.028;77;-2.08215;0.99212;1.52583;0.31109;-0.04765;0.06183;1.27112;0.1631;183;36;0.42857;0.32955;0.2466;1.33928;1.54334;0.33037;0.02326
UBC_162;327.7942;53.0065;2.044;0.057;7.73;0.385;0.005;0.031;1.948;0.058;294;-2.28273;0.30687;2.24433;0.24134;-0.02303;0.02107;1.78188;0.07065;714;142;0.7585;0.76262;0.23194;1.14684;4.87658;0.14965;0.07426
UBC_166;334.2468;54.2546;2.96;0.111;7.389;0.12;-0.037;0.043;1.477;0.039;437;-1.88539;0.24667;1.91607;0.22041;0.05366;0.02621;2.04562;0.07539;1287;257;0.54233;0.64946;0.26943;1.17;4.51696;0.16623;0.07355
UBC_169;342.6267;49.4942;1.372;0.03;8.475;0.049;-0.121;0.045;0.591;0.077;59;-1.58943;0.38401;1.66884;0.32007;-0.11263;0.04215;1.22452;0.07136;136;27;0.57627;0.49566;0.2695;1.51537;2.90865;0.42024;0.00886
UBC_172;343.3946;54.3292;2.456;0.032;8.35;0.153;-0.073;0.037;1.231;0.047;316;-2.66128;0.459;1.92798;0.25383;-0.02545;0.02502;1.71682;0.08065;982;196;0.57911;0.67563;0.26264;1.26221;6.00527;0.23608;0.00023
UBC_175;344.432;54.3751;1.274;0.019;8.655;0.174;-0.016;0.112;1.076;0.176;98;-1.42136;0.73996;1.46352;0.36288;0.01061;0.06711;1.59602;0.16139;299;59;0.59184;0.59746;0.23229;1.08235;2.13288;0.11682;0.85204
UBC_177;339.7207;67.063;1.079;0.027;8.101;0.066;0.103;0.081;2.221;0.115;74;-2.31926;0.39324;2.55055;0.50191;-0.07278;0.0263;1.3508;0.06471;191;38;0.71622;0.86875;0.2098;1.53322;2.6118;0.2076;0.33516
