Cluster;RA_ICRS;DE_ICRS;dist;e_dist;age;e_age;FeH;e_FeH;Av;e_Av;Nc;alpha_high_ind;e_alpha_high_ind;alpha_low_ind;e_alpha_low_ind;Mc_ind;e_Mc_ind;offset_ind;e_offset_ind;alpha_high_prim;e_alpha_high_prim;alpha_low_prim;e_alpha_low_prim;Mc_prim;e_Mc_prim;offset_prim;e_offset_prim;alpha_high_sec;e_alpha_high_sec;alpha_low_sec;e_alpha_low_sec;Mc_sec;e_Mc_sec;offset_sec;e_offset_sec;mass_total;e_mass_total;bin_frac;average_ratio;str_average_ratio;segr_ratio;segr_ratio_std;mass_seg;mass_seg_pval
NGC_2539;122.6456;-12.8636;1.239;0.009;8.89;0.019;-0.005;0.023;0.135;0.011;695;-2.81163;0.35774;3.0;1.85314;-0.14097;0.01932;1.4422;0.04283;-3.0;1.33354;1.34291;0.40689;0.15731;0.03774;2.18072;0.33607;-1.8871;0.71838;0.83294;0.1354;-0.10144;0.06032;1.58419;0.09405;1083;216;0.4446;0.5673;0.27265;1.2801;5.53383;0.20396;0.0
NGC_2546;123.0965;-37.6366;0.903;0.005;8.244;0.03;0.023;0.036;0.536;0.039;305;-2.2799;0.54037;0.22574;0.86515;-0.03598;0.068;1.41911;0.11642;-1.07703;0.73633;0.69049;0.67024;0.2;0.13775;1.62679;0.2657;-1.90561;0.70581;0.64177;0.18423;-0.0502;0.07041;1.44141;0.13048;606;121;0.41639;0.50372;0.26806;1.05759;3.40118;0.14888;0.05939
NGC_2548;123.3641;-5.7408;0.747;0.004;8.714;0.032;-0.002;0.026;0.127;0.016;600;-3.0;0.5377;1.24702;0.82077;-0.09713;0.03102;1.44948;0.05999;-1.38271;2.10092;0.01;0.45668;0.2;0.21497;1.78808;0.63503;-2.63451;0.69044;0.25046;0.1454;0.01467;0.0415;1.64631;0.09574;912;182;0.445;0.57673;0.26319;1.24953;5.90539;0.16562;0.00125
NGC_2925;143.3434;-53.4141;0.738;0.005;8.32;0.194;0.008;0.05;0.26;0.074;134;-2.43035;0.42387;3.0;2.33463;-0.14656;0.04099;1.0218;0.05756;-3.0;2.98501;0.01;1.06992;0.2;0.17601;1.69498;0.78148;-1.21761;0.72878;0.5388;0.5046;-0.2;0.16294;0.92388;0.13123;203;40;0.43284;0.66531;0.27452;1.10692;1.43568;0.14486;0.48315
NGC_5662;218.755;-56.6328;0.749;0.004;8.074;0.176;-0.021;0.034;1.116;0.047;345;-2.02397;0.27098;1.25227;0.83506;-0.12265;0.0296;1.29859;0.0499;-1.15358;0.17346;0.81018;0.19513;0.11614;0.03278;1.65269;0.06609;-1.8097;0.14726;1.1548;0.10073;-0.09416;0.01847;1.41998;0.03114;691;138;0.50145;0.56865;0.24059;1.11748;3.31103;0.14791;0.04029
NGC_6025;240.7343;-60.4253;0.753;0.003;8.173;0.078;-0.001;0.017;0.69;0.031;391;-1.90108;0.30875;3.0;1.49261;-0.16681;0.02316;1.33387;0.0516;-1.66365;1.12656;0.01;0.56667;0.2;0.16736;1.73278;0.38646;-1.84879;0.6062;0.69599;0.30405;-0.13121;0.07423;1.31685;0.1043;609;121;0.41688;0.52982;0.25414;1.32795;3.28086;0.25243;1e-05
NGC_6087;244.7276;-57.9032;0.924;0.014;8.192;0.083;-0.118;0.077;0.704;0.027;350;-1.35955;0.35418;2.4552;3.04332;-0.1865;0.04502;1.08668;0.08387;-1.4362;0.34994;0.90409;0.48229;0.05367;0.05545;1.70567;0.1045;-1.4959;0.46694;0.97475;0.25851;-0.12525;0.06117;1.47298;0.08292;678;135;0.63714;0.58592;0.23055;1.30433;3.68403;0.2126;0.00073
NGC_6134;246.9768;-49.1779;1.078;0.009;9.096;0.024;0.025;0.029;1.3;0.037;945;-2.93634;0.22926;1.41138;0.96863;-0.08818;0.01769;1.58646;0.02088;-1.05741;0.50465;1.14278;0.30607;0.0972;0.03734;1.9391;0.10862;-3.0;1.31746;0.86823;0.15141;0.01512;0.04311;1.96235;0.1704;1824;364;0.50794;0.63658;0.26008;1.34188;3.7676;0.22777;0.0
NGC_6475;268.4215;-34.8721;0.273;0.0;8.667;0.0;0.114;0.0;0.204;0.0;595;-3.0;0.39807;0.94918;0.21706;-0.11648;0.02186;1.42105;0.04711;-1.69479;2.7928;0.86363;0.31547;0.16162;0.2119;2.004;0.94156;-1.77169;0.57291;1.01529;0.36788;-0.2;0.07271;1.4328;0.10245;767;153;0.42689;0.56471;0.24494;1.1541;1.48798;0.15288;0.00397
NGC_6709;282.8393;10.3438;1.043;0.006;8.197;0.049;0.047;0.021;1.082;0.023;377;-2.37099;0.44669;2.58334;2.41881;-0.09511;0.03553;1.32793;0.06639;-2.10625;0.81041;0.56443;0.38487;0.2;0.0697;1.9839;0.31399;-2.3058;0.68135;1.20788;0.21798;-0.09866;0.04907;1.38352;0.10616;687;137;0.50398;0.52725;0.22741;1.27143;3.16968;0.2379;4e-05
